Country,Airlinepassengerscarried,Year
United States,666153000,2021
China,440301216,2021
Russia,96851770,2021
India,83964797,2021
Ireland,74065210,2021
Turkey,69065870,2021
Brazil,61896520,2021
Mexico,54217880,2021
Japan,45410150,2021
Spain,43440480,2021
South Korea,34020090,2021
Indonesia,33549830,2021
Germany,33073180,2021
France,32000530,2021
Saudi Arabia,29403730,2021
United Arab Emirates,28422620,2021
United Kingdom,26631930,2021
Colombia,26167360,2021
Canada,24951000,2021
Australia,24572960,2021
Hungary,20127200,2021
Sweden,20067140,2021
Netherlands,19349170,2021
Austria,18901050,2021
Qatar,14832940,2021
Vietnam,14754850,2021
Iran,13695900,2021
Thailand,12734580,2021
Norway,12277220,2004
Switzerland,10988880,2021
Chile,10302880,2021
South Africa,9321580,2021
Peru,9053970,2021
Kazakhstan,8765000,2021
New Zealand,8729630,2021
Greece,8726340,2021
Panama,8208380,2021
Portugal,8056490,2021
Ethiopia,7065950,2021
Philippines,6886920,2021
Argentina,6708100,2021
Denmark,6428700,2004
Egypt,5563390,2021
Belgium,5404280,2021
Malaysia,4965360,2021
Pakistan,4930660,2021
Morocco,4740710,2021
Nigeria,4486310,2021
Bolivia,4311880,2021
Bangladesh,3750750,2021
Poland,3676180,2021
Ukraine,3282710,2021
Finland,2805550,2021
Romania,2719210,2021
Nepal,2550510,2021
Kenya,2459110,2021
Italy,2449340,2021
Israel,2437210,2021
Singapore,2311710,2021
Kuwait,2182890,2021
Oman,2075390,2021
Uzbekistan,2010910,2021
Algeria,1949940,2021
Bahrain,1840270,2021
Jordan,1695300,2021
Tunisia,1675780,2021
Iraq,1620010,2021
Lebanon,1603130,2021
Latvia,1598680,2021
Ecuador,1534850,2021
Iceland,1499030,2021
Czech Republic,1418030,2021
El Salvador,1412030,2021
Sudan,1386970,2021
Serbia,1276460,2021
Tanzania,1146970,2021
Myanmar,1132660,2021
Azerbaijan,1102450,2021
Luxembourg,1081480,2021
Bahamas,1065150,2021
Belarus,1040730,2021
Papua New Guinea,1039010,2021
Libya,968480,2021
Sri Lanka,871680,2021
Hong Kong,777200,2021
Croatia,767760,2021
Rwanda,715760,2021
Macao,698050,2021
Syria,672220,2021
Togo,672180,2021
Belize,670360,2021
Costa Rica,669300,2021
Trinidad and Tobago,652150,2021
Turkmenistan,648370,2021
Malta,597720,2021
Ivory Coast,569310,2021
Uruguay,563630,2009
Ghana,559390,2021
Moldova,528580,2021
Mozambique,411740,2021
Democratic Republic of the Congo,392100,2021
Senegal,359710,2021
Angola,311490,2021
Afghanistan,293210,2021
Maldives,277880,2021
Aruba,274280,2018
Honduras,271310,2021
Venezuela,265280,2021
Mauritania,207220,2021
Albania,193260,2021
Jamaica,180950,2018
Armenia,179200,2021
Cameroon,177990,2021
Botswana,172020,2021
Kyrgyzstan,171350,2021
Republic of the Congo,157780,2021
Laos,157290,2021
Mauritius,153240,2021
Seychelles,137560,2021
Zambia,136610,2021
Fiji,133710,2021
Vanuatu,128160,2021
Tajikistan,125160,2021
Burkina Faso,112940,2021
Paraguay,111960,2021
Gambia,109540,2019
Madagascar,109460,2021
Cyprus,103020,2021
Solomon Islands,100590,2021
North Macedonia,86870,2009
Georgia,84590,2021
Gabon,77320,2016
Cape Verde,76350,2021
Zimbabwe,75640,2021
Dominican Republic,69450,2021
Mongolia,61610,2021
Nicaragua,61030,2000
Guinea,58500,1999
Yemen,52030,2021
Cambodia,50220,2021
Sierra Leone,50190,2012
Kiribati,46390,2021
Central African Republic,46360,2001
Eritrea,45100,2021
Bulgaria,41130,2021
Antigua and Barbuda,40630,2021
Somalia,34070,2021
Mali,33440,2013
Equatorial Guinea,31270,2021
Marshall Islands,30110,2021
Chad,28300,2014
São Tomé and Príncipe,28020,2021
Brunei,27880,2021
Haiti,23120,2021
Bhutan,22380,2021
Cuba,22360,2021
Slovenia,21040,2021
Suriname,20180,2021
Uganda,16490,2021
Niger,15020,2021
Eswatini,13340,2021
Burundi,12000,2021
Lithuania,11290,2021
Slovakia,8900,2021
Guyana,7510,2021
Samoa,7210,2021
Nauru,3340,2021
Namibia,2250,2021
Guatemala,1770,2021
Bosnia and Herzegovina,1590,2020
Montenegro,1590,2021
Lesotho,1300,1999
Malawi,1290,2021
Benin,900,2016
Estonia,860,2019
North Korea,520,2021
Monaco,320,2017
